측정일시,SO2,CO,O3,NO2,PM10,PM25
2021101210,0.00095,0.26666666666666666,0.0358,0.00568,23.0,6.0
2021101211,0.00095,0.26666666666666666,0.0368,0.0054800000000000005,22.3,5.3
2021101212,0.00095,0.2555555555555556,0.038400000000000004,0.005200000000000001,21.1,6.3
2021101213,0.00095,0.275,0.0386,0.00505,18.7,4.9
2021101214,0.00095,0.2555555555555556,0.0392,0.0054,17.77777777777778,5.333333333333333
2021101215,0.0009444444444444445,0.225,0.04044444444444444,0.005077777777777778,17.444444444444443,5.111111111111111
2021101216,0.0009444444444444445,0.225,0.04,0.005311111111111111,16.77777777777778,5.2
2021101217,0.0009444444444444445,0.2555555555555556,0.03866666666666666,0.005655555555555556,18.22222222222222,5.0
2021101218,0.0009444444444444445,0.2555555555555556,0.039,0.005488888888888889,14.7,4.4
2021101219,0.00095,0.275,0.0385,0.0056099999999999995,15.5,3.5
2021101220,0.00095,0.2555555555555556,0.0393,0.00491,16.1,5.0
2021101221,0.00095,0.2555555555555556,0.0393,0.004520000000000001,18.8,3.6
2021101222,0.00095,0.2555555555555556,0.039400000000000004,0.00455,21.4,5.5
2021101223,0.00095,0.24444444444444446,0.0393,0.00408,22.8,5.2
2021101224,0.00095,0.24444444444444446,0.0398,0.00344,20.4,4.7
2021101301,0.00095,0.2625,0.0392,0.0033799999999999998,19.1,5.1
2021101302,0.00095,0.23333333333333334,0.0387,0.00352,17.3,5.3
2021101303,0.00095,0.23333333333333334,0.0368,0.0038400000000000005,15.6,4.5
2021101304,0.00095,0.24444444444444446,0.034999999999999996,0.00416,16.5,4.1
2021101305,0.00104,0.24444444444444446,0.0344,0.00426,18.2,4.9
2021101306,0.00095,0.2625,0.0354,0.00433,18.5,4.3
2021101307,0.00095,0.275,0.0345,0.00502,19.0,5.9
2021101308,0.0010500000000000002,0.275,0.0333,0.00579,17.5,5.9
2021101309,0.0010500000000000002,0.2875,0.0328,0.0065699999999999995,19.2,6.2
2021101310,0.00095,0.3,0.033600000000000005,0.006619999999999999,20.7,6.111111111111111
2021101311,0.00095,0.2555555555555556,0.0356,0.00643,21.4,7.0
2021101312,0.0010666666666666667,0.2625,0.03688888888888889,0.006233333333333333,20.125,6.5
2021101313,0.0010555555555555555,0.3,0.03911111111111111,0.006011111111111111,19.333333333333332,5.111111111111111
2021101314,0.0010500000000000002,0.2555555555555556,0.0422,0.0060999999999999995,18.22222222222222,5.444444444444445
2021101315,0.0010666666666666667,0.2625,0.044000000000000004,0.006377777777777777,18.666666666666668,5.111111111111111
2021101316,0.00095,0.275,0.044222222222222225,0.006077777777777777,19.0,5.888888888888889
2021101317,0.0009375,0.2625,0.04122222222222222,0.005888888888888889,16.444444444444443,4.125
2021101318,0.0009375,0.2625,0.03977777777777777,0.006266666666666667,18.77777777777778,5.111111111111111
2021101319,0.0009444444444444445,0.2875,0.038900000000000004,0.0064600000000000005,17.6,4.7
2021101320,0.0009444444444444445,0.2555555555555556,0.0386,0.00592,18.7,4.777777777777778
2021101321,0.0009444444444444445,0.2555555555555556,0.0374,0.00522,18.1,4.4
2021101322,0.0009444444444444445,0.26666666666666666,0.0339,0.00566,18.3,3.6666666666666665
2021101323,0.0009444444444444445,0.2555555555555556,0.0328,0.00551,18.3,4.1
2021101324,0.0009444444444444445,0.2555555555555556,0.0314,0.005509999999999999,19.0,3.9
2021101401,0.0009444444444444445,0.275,0.032,0.005050000000000001,16.8,3.5
2021101402,0.0009444444444444445,0.2555555555555556,0.0333,0.00429,16.4,3.7
2021101403,0.0009444444444444445,0.23333333333333334,0.0329,0.0041,17.0,3.1
2021101404,0.0009444444444444445,0.24444444444444446,0.033100000000000004,0.00417,17.9,4.1
2021101405,0.0010555555555555555,0.24444444444444446,0.0324,0.004710000000000001,19.1,5.3
2021101406,0.0010444444444444444,0.23333333333333334,0.0294,0.00584,21.9,5.3
2021101407,0.0010555555555555555,0.275,0.028599999999999997,0.007000000000000001,21.1,5.7
2021101408,0.0010555555555555555,0.2555555555555556,0.027100000000000003,0.00808,21.9,5.3
2021101409,0.0010555555555555555,0.26666666666666666,0.029099999999999997,0.007579999999999999,22.5,6.1
2021101410,0.0010666666666666667,0.30000000000000004,0.0335,0.0064600000000000005,25.555555555555557,6.3
2021101411,0.001288888888888889,0.4222222222222222,0.0374,0.00566,23.11111111111111,6.125
2021101412,0.001075,0.2625,0.042,0.004644444444444444,23.77777777777778,5.0
2021101413,0.00095,0.27142857142857146,0.04422222222222222,0.0040888888888888884,21.0,6.1
2021101414,0.001288888888888889,0.2555555555555556,0.0443,0.00616,20.1,5.3
2021101415,0.001288888888888889,0.25,0.04888888888888889,0.006366666666666667,20.333333333333332,4.888888888888889
2021101416,0.001288888888888889,0.25,0.04766666666666666,0.008944444444444444,22.333333333333332,6.0
2021101417,0.001288888888888889,0.2625,0.049444444444444444,0.008866666666666667,21.11111111111111,5.666666666666667
2021101418,0.00125,0.2625,0.04925,0.01025,21.0,5.333333333333333
2021101419,0.0011777777777777778,0.30000000000000004,0.045,0.010589999999999999,22.2,6.3
2021101420,0.0011777777777777778,0.27,0.0371,0.012280000000000001,24.3,8.6
2021101421,0.0010888888888888888,0.27999999999999997,0.0332,0.01042,22.1,8.3
2021101422,0.0010777777777777778,0.27,0.031,0.01036,17.5,8.0
2021101423,0.0010777777777777778,0.27,0.0299,0.009139999999999999,14.9,7.0
